Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,206329,10968,210.0,732.1649730168793,5.228300000027275,10536.078900000008,16541.33287128809,639.7281360923711,34.00655359479824,210,240,260,280,330,10000,10000,10000,10000,10000,11000
,Aggregated,206329,10968,210.0,732.1649730168793,5.228300000027275,10536.078900000008,16541.33287128809,639.7281360923711,34.00655359479824,210,240,260,280,330,10000,10000,10000,10000,10000,11000
